Work Order #,Installation,Facility Type Key,System Type Key,Trade,Age,Condition Index,Mission Criticality,Resiliency Grade,Remaining Service Life,Request DateTime,Work Category,Priority Code,Status
USSPC-FAC-2026-0022,Schriever SFB,200,20,Electrical,5,97.12,4,2,22,2026-03-02 1800Z,Routine,3,In Progress
USSPC-FAC-2026-0023,Peterson SFB,700,30,Plumbing,8,70.19,3,2,21,2026-02-28 1900Z,Routine,3,In Progress
USSPC-FAC-2026-0024,Buckley SFB,200,20,Electrical,2,70.1,1,3,25,2026-02-17 2200Z,Routine,4,In Progress
USSPC-FAC-2026-0025,Schriever SFB,200,30,Plumbing,23,35.96,5,3,5,2026-01-02 2000Z,Urgent,2,Completed
USSPC-FAC-2026-0026,Peterson SFB,200,50,Structural,15,57.65,1,4,18,2026-02-13 0100Z,Urgent,2,Completed
USSPC-FAC-2026-0027,Peterson SFB,200,50,Structural,19,62.07,5,2,7,2026-02-17 0100Z,Routine,3,In Progress
USSPC-FAC-2026-0028,Schriever SFB,200,80,Lighting,16,65.36,2,4,16,2026-02-04 1500Z,Routine,3,In Progress
USSPC-FAC-2026-0029,Schriever SFB,700,80,Lighting,8,57.68,3,2,21,2026-02-26 1000Z,Urgent,2,Approved
USSPC-FAC-2026-0030,Schriever SFB,200,60,ESS,27,32.01,4,3,0,2026-02-20 0100Z,Urgent,2,In Progress
USSPC-FAC-2026-0031,Peterson SFB,200,50,Structural,13,62.46,1,3,15,2026-01-28 0800Z,Routine,4,In Progress
USSPC-FAC-2026-0032,Buckley SFB,700,80,Lighting,30,18.16,4,4,0,2026-01-24 1700Z,Emergency,1,In Progress
USSPC-FAC-2026-0033,Schriever SFB,200,20,Electrical,5,82.73,1,2,30,2026-01-31 0400Z,Routine,4,Approved
USSPC-FAC-2026-0034,Schriever SFB,100,30,Plumbing,19,51.48,1,4,7,2026-01-07 1700Z,Urgent,2,Approved
USSPC-FAC-2026-0035,Schriever SFB,100,10,HVAC,1,100.0,5,4,25,2026-01-23 1800Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0036,Buckley SFB,100,60,ESS,20,49.74,4,2,11,2026-01-28 2200Z,Urgent,2,Completed
USSPC-FAC-2026-0037,Peterson SFB,200,50,Structural,22,62.74,1,4,4,2026-01-24 1100Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0038,Peterson SFB,700,20,Electrical,15,49.84,1,4,17,2026-01-24 2000Z,Urgent,2,Approved
USSPC-FAC-2026-0039,Vandenberg SFB,200,40,Fire Protection,29,9.43,3,4,3,2026-01-18 2200Z,Emergency,1,Completed
USSPC-FAC-2026-0040,Buckley SFB,700,80,Lighting,8,79.43,4,3,27,2026-01-27 1300Z,Routine,3,Approved
USSPC-FAC-2026-0041,Peterson SFB,700,60,ESS,28,29.31,5,2,7,2026-02-06 0300Z,Emergency,1,Approved
USSPC-FAC-2026-0042,Vandenberg SFB,700,30,Plumbing,27,27.04,2,1,3,2026-02-20 2100Z,Emergency,1,In Progress
USSPC-FAC-2026-0043,Buckley SFB,200,20,Electrical,8,86.82,4,2,18,2026-02-26 2200Z,Routine,3,Completed
USSPC-FAC-2026-0044,Peterson SFB,100,60,ESS,25,55.69,5,2,7,2026-02-10 0000Z,Urgent,2,In Progress
USSPC-FAC-2026-0045,Schriever SFB,700,80,Lighting,5,89.51,2,1,27,2026-02-05 1200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0046,Buckley SFB,700,50,Structural,8,75.09,3,3,25,2026-02-28 1400Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0047,Schriever SFB,100,60,ESS,13,95.42,4,2,15,2026-02-03 0800Z,Routine,4,In Progress
USSPC-FAC-2026-0048,Vandenberg SFB,100,60,ESS,16,72.62,2,4,18,2026-02-05 1200Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0049,Buckley SFB,200,10,HVAC,17,49.16,3,2,16,2026-01-25 0000Z,Urgent,2,Approved
USSPC-FAC-2026-0050,Schriever SFB,100,40,Fire Protection,12,68.57,4,2,23,2026-01-03 1800Z,Routine,3,Approved
USSPC-FAC-2026-0051,Vandenberg SFB,700,10,HVAC,9,66.28,4,3,24,2026-01-14 0300Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0052,Vandenberg SFB,100,70,Power Production,14,74.37,4,4,12,2026-02-16 0100Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0053,Schriever SFB,700,80,Lighting,2,84.96,4,4,28,2026-02-22 0100Z,Routine,4,In Progress
USSPC-FAC-2026-0054,Buckley SFB,100,80,Lighting,11,77.69,5,3,23,2026-03-02 1300Z,Routine,3,Completed
USSPC-FAC-2026-0055,Peterson SFB,200,60,ESS,4,75.23,2,3,26,2026-01-21 0700Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0056,Buckley SFB,700,50,Structural,26,33.73,2,2,5,2026-01-04 1700Z,Urgent,2,Approved
USSPC-FAC-2026-0057,Vandenberg SFB,700,60,ESS,7,88.52,1,3,18,2026-01-15 0000Z,Routine,3,Approved
USSPC-FAC-2026-0058,Vandenberg SFB,200,30,Plumbing,20,50.95,5,4,12,2026-02-05 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0059,Schriever SFB,200,10,HVAC,23,33.71,5,1,8,2026-01-30 1100Z,Urgent,2,In Progress
USSPC-FAC-2026-0060,Peterson SFB,700,10,HVAC,1,93.88,2,3,30,2026-01-07 0100Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0061,Vandenberg SFB,700,30,Plumbing,24,40.58,1,4,9,2026-02-22 0400Z,Urgent,2,Approved
USSPC-FAC-2026-0062,Buckley SFB,200,60,ESS,1,99.71,4,2,24,2026-02-11 1900Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0063,Peterson SFB,100,60,ESS,3,85.68,1,4,25,2026-01-11 1500Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0064,Peterson SFB,200,40,Fire Protection,24,27.56,3,1,7,2026-01-25 1500Z,Emergency,1,Completed
USSPC-FAC-2026-0065,Buckley SFB,100,70,Power Production,19,59.45,4,3,16,2026-02-28 1100Z,Urgent,2,In Progress
USSPC-FAC-2026-0066,Schriever SFB,100,10,HVAC,16,51.58,1,2,10,2026-02-17 1300Z,Urgent,2,Approved
USSPC-FAC-2026-0067,Schriever SFB,100,10,HVAC,10,61.16,4,4,21,2026-02-19 1500Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0068,Buckley SFB,100,30,Plumbing,8,70.27,1,2,21,2026-02-17 1300Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0069,Buckley SFB,100,30,Plumbing,23,46.1,1,4,7,2026-01-20 1300Z,Urgent,2,In Progress
USSPC-FAC-2026-0070,Schriever SFB,700,50,Structural,23,38.84,1,4,5,2026-02-11 1400Z,Urgent,2,Approved
USSPC-FAC-2026-0071,Vandenberg SFB,700,10,HVAC,9,61.84,4,1,23,2026-02-06 1600Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0072,Schriever SFB,100,70,Power Production,17,56.5,3,3,8,2026-02-01 0000Z,Urgent,2,Approved
USSPC-FAC-2026-0073,Buckley SFB,700,70,Power Production,29,44.55,2,3,2,2026-01-31 1100Z,Urgent,2,Approved
USSPC-FAC-2026-0074,Peterson SFB,700,60,ESS,29,37.97,5,1,5,2026-01-13 2200Z,Urgent,2,In Progress
USSPC-FAC-2026-0075,Schriever SFB,200,30,Plumbing,8,80.03,5,1,19,2026-02-23 2200Z,Routine,3,Completed
USSPC-FAC-2026-0076,Peterson SFB,200,60,ESS,8,67.96,4,1,18,2026-01-04 1300Z,Routine,4,Completed
USSPC-FAC-2026-0077,Vandenberg SFB,700,40,Fire Protection,19,47.27,1,1,15,2026-01-14 1100Z,Urgent,2,Approved
USSPC-FAC-2026-0078,Buckley SFB,100,30,Plumbing,1,92.52,5,3,33,2026-01-21 0700Z,Routine,3,Approved
USSPC-FAC-2026-0079,Peterson SFB,700,10,HVAC,13,64.72,1,4,21,2026-01-05 2300Z,Routine,4,Completed
USSPC-FAC-2026-0080,Schriever SFB,200,20,Electrical,9,65.68,5,3,21,2026-01-19 0300Z,Routine,3,Approved
USSPC-FAC-2026-0081,Buckley SFB,700,10,HVAC,24,40.1,1,4,9,2026-02-24 1900Z,Urgent,2,In Progress
USSPC-FAC-2026-0082,Peterson SFB,700,70,Power Production,22,63.6,1,2,6,2026-01-22 1300Z,Routine,3,Completed
USSPC-FAC-2026-0083,Vandenberg SFB,200,10,HVAC,13,71.62,3,2,15,2026-01-19 0800Z,Routine,4,Approved
USSPC-FAC-2026-0084,Peterson SFB,700,70,Power Production,16,82.25,5,1,13,2026-01-09 1400Z,Routine,4,In Progress
USSPC-FAC-2026-0085,Peterson SFB,100,30,Plumbing,8,92.91,5,3,23,2026-01-21 0900Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0086,Schriever SFB,700,30,Plumbing,15,87.65,1,3,19,2026-01-04 1800Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0087,Schriever SFB,700,70,Power Production,28,21.22,3,1,7,2026-01-31 0500Z,Emergency,1,In Progress
USSPC-FAC-2026-0088,Vandenberg SFB,700,70,Power Production,3,100.0,2,2,32,2026-01-06 1000Z,Routine,3,In Progress
USSPC-FAC-2026-0089,Schriever SFB,100,20,Electrical,5,93.8,3,1,25,2026-02-07 0200Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0090,Vandenberg SFB,100,80,Lighting,10,77.37,4,1,15,2026-03-01 1300Z,Routine,4,Approved
USSPC-FAC-2026-0091,Buckley SFB,100,50,Structural,27,26.48,5,2,7,2026-01-01 1300Z,Emergency,1,Approved
USSPC-FAC-2026-0092,Schriever SFB,700,30,Plumbing,8,100.0,5,3,19,2026-02-12 1400Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0093,Buckley SFB,200,80,Lighting,22,33.13,2,3,10,2026-01-13 1300Z,Urgent,2,In Progress
USSPC-FAC-2026-0094,Buckley SFB,700,30,Plumbing,2,84.96,1,1,28,2026-01-14 0100Z,Routine,3,Completed
USSPC-FAC-2026-0095,Schriever SFB,100,20,Electrical,5,76.59,1,1,21,2026-02-09 1400Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0096,Vandenberg SFB,700,80,Lighting,11,67.49,3,3,16,2026-01-16 1600Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0097,Schriever SFB,200,60,ESS,9,72.85,2,1,24,2026-02-18 0100Z,Routine,3,Approved
USSPC-FAC-2026-0098,Schriever SFB,100,30,Plumbing,18,49.8,1,1,15,2026-02-11 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0099,Vandenberg SFB,200,60,ESS,16,56.89,5,2,15,2026-01-23 0400Z,Urgent,2,In Progress
USSPC-FAC-2026-0100,Peterson SFB,700,60,ESS,21,42.73,2,2,14,2026-01-08 0100Z,Urgent,2,In Progress
USSPC-FAC-2026-0101,Peterson SFB,700,40,Fire Protection,7,85.45,2,4,19,2026-02-01 0700Z,Routine,4,Approved
USSPC-FAC-2026-0102,Schriever SFB,200,40,Fire Protection,17,75.46,3,1,10,2026-01-16 0900Z,Routine,3,Completed
USSPC-FAC-2026-0103,Buckley SFB,700,50,Structural,14,57.17,2,1,14,2026-01-16 2300Z,Urgent,2,In Progress
USSPC-FAC-2026-0104,Schriever SFB,100,10,HVAC,5,91.88,5,3,29,2026-01-03 2100Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0105,Peterson SFB,700,80,Lighting,17,59.78,2,1,17,2026-02-25 0400Z,Urgent,2,Approved
USSPC-FAC-2026-0106,Vandenberg SFB,200,30,Plumbing,29,38.06,2,4,2,2026-02-04 1600Z,Urgent,2,Completed
USSPC-FAC-2026-0107,Vandenberg SFB,700,50,Structural,13,81.1,3,2,22,2026-02-09 1800Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0108,Buckley SFB,100,10,HVAC,26,32.82,4,4,9,2026-02-20 0800Z,Urgent,2,In Progress
USSPC-FAC-2026-0109,Schriever SFB,700,40,Fire Protection,13,90.01,2,2,15,2026-01-16 0700Z,Routine,3,Approved
USSPC-FAC-2026-0110,Buckley SFB,200,60,ESS,5,83.53,2,1,24,2026-02-10 0100Z,Routine,4,Approved
USSPC-FAC-2026-0111,Schriever SFB,100,60,ESS,2,78.33,5,2,31,2026-02-19 0100Z,Routine,3,Completed
USSPC-FAC-2026-0112,Peterson SFB,700,10,HVAC,14,74.19,5,2,11,2026-01-20 1600Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0113,Vandenberg SFB,700,20,Electrical,19,63.32,4,4,7,2026-02-17 2100Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0114,Peterson SFB,100,70,Power Production,6,85.45,3,2,24,2026-02-17 1600Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0115,Buckley SFB,700,70,Power Production,2,86.8,5,1,33,2026-02-19 0400Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0116,Peterson SFB,100,30,Plumbing,13,86.38,1,4,17,2026-01-13 1800Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0117,Peterson SFB,700,50,Structural,2,100.0,5,2,23,2026-01-05 1100Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0118,Schriever SFB,700,70,Power Production,24,41.63,5,2,9,2026-01-06 0600Z,Urgent,2,Completed
USSPC-FAC-2026-0119,Vandenberg SFB,100,70,Power Production,24,36.24,1,1,4,2026-02-16 1600Z,Urgent,2,Completed
USSPC-FAC-2026-0120,Peterson SFB,200,50,Structural,4,84.84,5,4,25,2026-01-27 2300Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0121,Buckley SFB,700,60,ESS,6,81.41,1,3,22,2026-01-04 1600Z,Routine,4,In Progress
USSPC-FAC-2026-0122,Peterson SFB,100,70,Power Production,2,72.27,5,2,27,2026-02-25 0300Z,Routine,4,Approved
USSPC-FAC-2026-0123,Peterson SFB,700,20,Electrical,10,69.79,3,2,25,2026-01-27 1600Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0124,Vandenberg SFB,200,70,Power Production,18,67.39,4,1,12,2026-02-14 0900Z,Routine,4,Completed
USSPC-FAC-2026-0125,Vandenberg SFB,200,20,Electrical,18,53.83,2,3,9,2026-02-14 0000Z,Urgent,2,In Progress
USSPC-FAC-2026-0126,Buckley SFB,200,70,Power Production,29,25.41,1,2,4,2026-02-13 0400Z,Emergency,1,Completed
USSPC-FAC-2026-0127,Schriever SFB,100,80,Lighting,5,82.86,5,3,21,2026-02-27 1600Z,Routine,3,Completed
USSPC-FAC-2026-0128,Schriever SFB,100,40,Fire Protection,1,97.87,3,3,33,2026-02-01 0000Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0129,Schriever SFB,700,40,Fire Protection,1,91.03,4,3,30,2026-01-20 2000Z,Routine,4,Completed
USSPC-FAC-2026-0130,Vandenberg SFB,700,40,Fire Protection,22,30.75,5,2,12,2026-01-29 0500Z,Urgent,2,Completed
USSPC-FAC-2026-0131,Vandenberg SFB,100,10,HVAC,9,64.66,1,2,17,2026-02-13 1500Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0132,Schriever SFB,700,50,Structural,29,9.52,5,2,2,2026-02-21 1600Z,Emergency,1,In Progress
USSPC-FAC-2026-0133,Buckley SFB,700,30,Plumbing,3,95.44,1,1,29,2026-02-20 1400Z,Preventive Maintenance,4,In Progress
USSPC-FAC-2026-0134,Vandenberg SFB,200,70,Power Production,25,31.13,1,1,3,2026-01-14 0600Z,Urgent,2,In Progress
USSPC-FAC-2026-0135,Schriever SFB,100,70,Power Production,17,58.69,4,2,17,2026-02-10 1900Z,Urgent,2,Approved
USSPC-FAC-2026-0136,Peterson SFB,200,30,Plumbing,5,88.33,3,3,24,2026-02-12 0500Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0137,Schriever SFB,200,10,HVAC,7,82.35,3,2,19,2026-01-23 0000Z,Routine,4,In Progress
USSPC-FAC-2026-0138,Peterson SFB,100,20,Electrical,10,69.57,2,2,25,2026-02-02 0800Z,Routine,4,Completed
USSPC-FAC-2026-0139,Peterson SFB,100,50,Structural,3,82.14,3,1,27,2026-01-03 1700Z,Routine,3,Approved
USSPC-FAC-2026-0140,Schriever SFB,700,10,HVAC,17,61.56,1,3,12,2026-01-16 1600Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0141,Peterson SFB,700,10,HVAC,23,39.85,1,2,5,2026-01-30 0000Z,Urgent,2,In Progress
USSPC-FAC-2026-0142,Peterson SFB,700,60,ESS,14,66.9,2,2,12,2026-02-25 0900Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0143,Schriever SFB,700,80,Lighting,5,100.0,5,2,26,2026-01-26 0800Z,Routine,4,Approved
USSPC-FAC-2026-0144,Buckley SFB,700,80,Lighting,5,83.47,5,4,22,2026-01-20 2000Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0145,Buckley SFB,700,30,Plumbing,14,75.77,1,4,12,2026-02-11 2200Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0146,Vandenberg SFB,700,60,ESS,16,57.11,2,3,14,2026-02-12 2300Z,Urgent,2,Approved
USSPC-FAC-2026-0147,Schriever SFB,700,80,Lighting,21,48.78,4,2,13,2026-01-03 0000Z,Urgent,2,In Progress
USSPC-FAC-2026-0148,Vandenberg SFB,100,50,Structural,4,87.35,5,4,26,2026-01-03 1200Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0149,Buckley SFB,200,60,ESS,14,58.34,1,1,16,2026-02-14 0700Z,Urgent,2,In Progress
USSPC-FAC-2026-0150,Vandenberg SFB,200,40,Fire Protection,28,32.14,1,2,3,2026-01-01 0000Z,Urgent,2,Completed
USSPC-FAC-2026-0151,Vandenberg SFB,100,60,ESS,13,80.02,3,4,19,2026-02-08 0400Z,Routine,4,Approved
USSPC-FAC-2026-0152,Schriever SFB,100,50,Structural,8,80.08,5,3,17,2026-01-18 1600Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0153,Buckley SFB,200,70,Power Production,3,99.2,2,4,32,2026-02-07 1500Z,Routine,3,Completed
USSPC-FAC-2026-0154,Vandenberg SFB,200,40,Fire Protection,28,31.28,2,2,3,2026-01-23 1500Z,Urgent,2,Completed
USSPC-FAC-2026-0155,Peterson SFB,100,70,Power Production,4,85.87,2,4,30,2026-01-05 1100Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0156,Buckley SFB,100,80,Lighting,29,27.12,4,3,0,2026-01-28 2200Z,Emergency,1,Completed
USSPC-FAC-2026-0157,Peterson SFB,700,70,Power Production,12,73.02,1,2,14,2026-01-14 0500Z,Preventive Maintenance,3,Approved
USSPC-FAC-2026-0158,Schriever SFB,700,70,Power Production,1,99.67,5,4,26,2026-01-08 0900Z,Routine,3,Completed
USSPC-FAC-2026-0159,Peterson SFB,200,60,ESS,3,100.0,2,1,32,2026-02-03 1100Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0160,Vandenberg SFB,200,50,Structural,3,100.0,4,1,25,2026-01-13 1500Z,Routine,4,Completed
USSPC-FAC-2026-0161,Buckley SFB,200,70,Power Production,21,43.78,1,4,4,2026-01-01 0500Z,Urgent,2,Completed
USSPC-FAC-2026-0162,Buckley SFB,100,60,ESS,12,66.52,1,4,13,2026-01-24 1900Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0163,Peterson SFB,100,30,Plumbing,7,61.28,5,1,25,2026-02-08 1300Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0164,Schriever SFB,700,20,Electrical,24,55.48,2,2,11,2026-01-29 1200Z,Urgent,2,Completed
USSPC-FAC-2026-0165,Schriever SFB,100,50,Structural,12,86.74,4,2,23,2026-01-30 1700Z,Routine,4,In Progress
USSPC-FAC-2026-0166,Schriever SFB,700,30,Plumbing,30,23.83,2,2,0,2026-01-09 2200Z,Emergency,1,Completed
USSPC-FAC-2026-0167,Peterson SFB,100,50,Structural,24,43.93,2,1,2,2026-02-12 1400Z,Urgent,2,In Progress
USSPC-FAC-2026-0168,Vandenberg SFB,200,40,Fire Protection,27,29.25,3,1,3,2026-01-10 0300Z,Emergency,1,Approved
USSPC-FAC-2026-0169,Schriever SFB,700,50,Structural,19,39.47,5,3,15,2026-03-01 0100Z,Urgent,2,Approved
USSPC-FAC-2026-0170,Buckley SFB,700,10,HVAC,22,49.29,2,4,12,2026-02-19 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0171,Buckley SFB,200,50,Structural,1,89.2,3,1,24,2026-01-09 0600Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0172,Vandenberg SFB,100,50,Structural,15,74.26,2,1,13,2026-02-27 0600Z,Routine,3,Approved
USSPC-FAC-2026-0173,Schriever SFB,700,30,Plumbing,26,35.87,4,4,0,2026-01-03 0300Z,Urgent,2,Approved
USSPC-FAC-2026-0174,Schriever SFB,200,50,Structural,19,60.26,4,1,13,2026-01-27 0200Z,Preventive Maintenance,3,In Progress
USSPC-FAC-2026-0175,Buckley SFB,700,70,Power Production,27,38.03,4,1,3,2026-02-27 0600Z,Urgent,2,In Progress
USSPC-FAC-2026-0176,Buckley SFB,200,80,Lighting,27,17.35,2,2,2,2026-02-09 1300Z,Emergency,1,In Progress
USSPC-FAC-2026-0177,Vandenberg SFB,200,30,Plumbing,7,93.07,5,1,19,2026-01-30 0500Z,Routine,4,Approved
USSPC-FAC-2026-0178,Peterson SFB,100,10,HVAC,28,36.57,1,1,2,2026-02-11 0200Z,Urgent,2,Approved
USSPC-FAC-2026-0179,Buckley SFB,700,10,HVAC,22,36.77,2,1,7,2026-03-01 0300Z,Urgent,2,Completed
USSPC-FAC-2026-0180,Vandenberg SFB,200,70,Power Production,29,10.97,3,4,3,2026-02-05 1000Z,Emergency,1,Completed
USSPC-FAC-2026-0181,Peterson SFB,700,10,HVAC,26,20.7,5,3,3,2026-01-27 0100Z,Emergency,1,In Progress
USSPC-FAC-2026-0182,Buckley SFB,100,60,ESS,27,44.4,3,3,3,2026-01-29 1200Z,Urgent,2,Approved
USSPC-FAC-2026-0183,Vandenberg SFB,100,20,Electrical,24,32.16,2,4,6,2026-02-12 0900Z,Urgent,2,Completed
USSPC-FAC-2026-0184,Buckley SFB,700,70,Power Production,17,53.92,3,2,8,2026-01-16 2300Z,Urgent,2,In Progress
USSPC-FAC-2026-0185,Peterson SFB,700,60,ESS,2,98.88,1,4,25,2026-02-17 1600Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0186,Schriever SFB,100,30,Plumbing,21,43.79,5,3,5,2026-01-18 0400Z,Urgent,2,Approved
USSPC-FAC-2026-0187,Buckley SFB,700,40,Fire Protection,18,45.69,3,3,7,2026-01-19 1200Z,Urgent,2,In Progress
USSPC-FAC-2026-0188,Schriever SFB,700,30,Plumbing,2,96.5,3,1,29,2026-02-06 2000Z,Preventive Maintenance,4,Completed
USSPC-FAC-2026-0189,Schriever SFB,100,10,HVAC,17,67.58,5,3,14,2026-01-14 2200Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0190,Schriever SFB,700,80,Lighting,18,62.29,5,2,9,2026-02-19 2300Z,Preventive Maintenance,3,Completed
USSPC-FAC-2026-0191,Peterson SFB,700,40,Fire Protection,19,55.49,1,3,8,2026-01-23 1800Z,Urgent,2,Completed
USSPC-FAC-2026-0192,Schriever SFB,700,50,Structural,9,80.04,3,1,20,2026-02-28 2100Z,Routine,3,Completed
USSPC-FAC-2026-0193,Peterson SFB,200,70,Power Production,25,36.86,4,3,3,2026-01-24 1400Z,Urgent,2,Completed
USSPC-FAC-2026-0194,Buckley SFB,100,30,Plumbing,24,45.88,3,3,9,2026-02-16 0400Z,Urgent,2,Completed
USSPC-FAC-2026-0195,Schriever SFB,200,80,Lighting,12,74.93,3,2,22,2026-02-13 2300Z,Preventive Maintenance,4,Approved
USSPC-FAC-2026-0196,Schriever SFB,100,50,Structural,21,58.89,4,1,4,2026-01-08 0200Z,Urgent,2,Completed
USSPC-FAC-2026-0197,Peterson SFB,700,50,Structural,3,100.0,3,2,28,2026-02-05 1600Z,Routine,3,Approved
USSPC-FAC-2026-0198,Schriever SFB,700,20,Electrical,22,47.4,3,2,12,2026-01-27 0900Z,Urgent,2,Approved
USSPC-FAC-2026-0199,Schriever SFB,700,10,HVAC,20,54.07,5,3,8,2026-02-19 1100Z,Urgent,2,Approved
USSPC-FAC-2026-0200,Vandenberg SFB,700,10,HVAC,30,19.87,5,4,3,2026-02-22 0300Z,Emergency,1,Completed
