Work Order #,Installation,Trade,Age,Condition Index,Remaining Service Life,Mission Criticality,predicted_ttf,hazard_score,risk_rank
USSPC-FAC-2026-0042,Vandenberg SFB,Plumbing,27,27.04,3,2,3.1779498592648743,0.3146682749209016,35
USSPC-FAC-2026-0301,Peterson SFB,Electrical,29,36.2,5,4,3.1835950322323843,0.3141103029359815,36
USSPC-FAC-2026-0297,Peterson SFB,Electrical,27,26.58,0,2,3.1938306176394513,0.313103642527886,37
USSPC-FAC-2026-0178,Peterson SFB,HVAC,28,36.57,2,1,3.2053254928049895,0.31198079641044413,38
USSPC-FAC-2026-0252,Peterson SFB,HVAC,28,33.96,0,3,3.2233733844458463,0.31023399424510584,39
USSPC-FAC-2026-0217,Peterson SFB,ESS,28,34.68,0,3,3.3276291214814697,0.30051425909952284,40
USSPC-FAC-2026-0492,Vandenberg SFB,Fire Protection,28,30.56,5,5,3.337558346403644,0.29962023018340367,41
USSPC-FAC-2026-0302,Vandenberg SFB,Fire Protection,28,35.74,0,2,3.366758287007064,0.29702161983507486,42
USSPC-FAC-2026-0168,Vandenberg SFB,Fire Protection,27,29.25,3,3,3.4439479249253764,0.2903644369191988,43
USSPC-FAC-2026-0451,Vandenberg SFB,Structural,27,24.8,6,5,3.4962686131370453,0.28601921381056156,44
USSPC-FAC-2026-0465,Schriever SFB,HVAC,28,36.41,1,4,3.5344483707670116,0.28292958195991125,45
USSPC-FAC-2026-0339,Peterson SFB,Structural,28,33.41,0,5,3.5433829963687233,0.28221617618665695,46
USSPC-FAC-2026-0407,Schriever SFB,Fire Protection,27,26.5,0,5,3.5712753831200366,0.2800120104785513,47
USSPC-FAC-2026-0091,Buckley SFB,Structural,27,26.48,7,5,3.6114922162278567,0.27689385443130854,48
USSPC-FAC-2026-0073,Buckley SFB,Power Production,29,44.55,2,2,3.631100618344249,0.27539859263277355,49
USSPC-FAC-2026-0181,Peterson SFB,HVAC,26,20.7,3,5,3.6371393037829933,0.2749413526613893,50
USSPC-FAC-2026-0332,Schriever SFB,HVAC,28,38.59,4,4,3.6546981140431543,0.27362041098757417,51
USSPC-FAC-2026-0483,Peterson SFB,Electrical,26,26.06,8,2,3.7060056673835042,0.2698322910838976,52
USSPC-FAC-2026-0486,Buckley SFB,HVAC,29,45.62,0,2,3.7256451535642214,0.26840988843055213,53
USSPC-FAC-2026-0030,Schriever SFB,ESS,27,32.01,0,4,3.7273414557593503,0.2682877358753481,54
USSPC-FAC-2026-0398,Vandenberg SFB,Plumbing,28,45.11,2,2,3.728167750006131,0.2682282737943741,55
USSPC-FAC-2026-0447,Buckley SFB,Electrical,28,42.96,0,1,3.7432363907819166,0.2671485034882107,56
USSPC-FAC-2026-0274,Schriever SFB,Plumbing,27,33.58,3,5,3.883416711085657,0.2575052008056168,57
USSPC-FAC-2026-0244,Vandenberg SFB,Fire Protection,25,23.97,4,1,3.9183382140604204,0.2552102308094888,58
USSPC-FAC-2026-0446,Peterson SFB,Fire Protection,26,31.58,7,1,3.984764597125644,0.25095585338249005,59
USSPC-FAC-2026-0491,Peterson SFB,Power Production,26,31.31,3,4,4.054280527392598,0.2466528877919366,60
USSPC-FAC-2026-0175,Buckley SFB,Power Production,27,38.03,3,4,4.189529121813463,0.23869030884481454,61
USSPC-FAC-2026-0368,Buckley SFB,ESS,26,32.77,6,4,4.226624561626578,0.23659541684373286,62
USSPC-FAC-2026-0056,Buckley SFB,Structural,26,33.73,5,2,4.228629673396211,0.2364832291395366,63
USSPC-FAC-2026-0235,Schriever SFB,Structural,26,34.16,2,4,4.305547947578462,0.2322584749201139,64
USSPC-FAC-2026-0251,Peterson SFB,Electrical,25,30.96,3,1,4.305819280591974,0.23224383905460091,65
USSPC-FAC-2026-0134,Vandenberg SFB,Power Production,25,31.13,3,1,4.3361537079812615,0.23061913099606418,66
USSPC-FAC-2026-0469,Schriever SFB,Electrical,28,49.93,5,3,4.374092837700491,0.22861883300257316,67
USSPC-FAC-2026-0232,Peterson SFB,Electrical,26,38.28,5,1,4.453683920402331,0.22453322190625133,68
USSPC-FAC-2026-0463,Schriever SFB,HVAC,27,47.37,3,1,4.478015031146688,0.22331322986737037,69
USSPC-FAC-2026-0386,Peterson SFB,Structural,23,15.54,7,4,4.488425233568611,0.22279528965327786,70
USSPC-FAC-2026-0173,Schriever SFB,Plumbing,26,35.87,0,4,4.510034181215179,0.22172780955078283,71
USSPC-FAC-2026-0182,Buckley SFB,ESS,27,44.4,3,3,4.557712477927658,0.2194083117008489,72
USSPC-FAC-2026-0108,Buckley SFB,HVAC,26,32.82,9,4,4.567124474426422,0.21895615186305786,73
USSPC-FAC-2026-0293,Schriever SFB,Electrical,25,34.21,2,1,4.582564920878161,0.21821840328851666,74
USSPC-FAC-2026-0477,Buckley SFB,Fire Protection,26,36.53,3,4,4.640712379973955,0.2154841580605804,75
USSPC-FAC-2026-0300,Buckley SFB,Lighting,26,32.92,6,4,4.641892708890531,0.21542936528556952,76
USSPC-FAC-2026-0064,Peterson SFB,Fire Protection,24,27.56,7,3,4.68296822049004,0.21353977924184095,77
USSPC-FAC-2026-0258,Vandenberg SFB,Lighting,25,33.72,6,2,4.7185919507153855,0.21192762808159119,78
USSPC-FAC-2026-0416,Buckley SFB,Fire Protection,27,50.29,4,2,4.961974903268276,0.20153265977652077,79
USSPC-FAC-2026-0254,Peterson SFB,ESS,26,42.62,4,4,4.971098431562898,0.20116278399371848,80
USSPC-FAC-2026-0449,Vandenberg SFB,Structural,23,22.96,6,2,4.985977858336187,0.20056246305387693,81
USSPC-FAC-2026-0399,Peterson SFB,Structural,24,32.91,2,1,5.13319474031973,0.19481045442232983,82
USSPC-FAC-2026-0193,Peterson SFB,Power Production,25,36.86,3,4,5.1619641153305595,0.19372470975342346,83
USSPC-FAC-2026-0480,Buckley SFB,ESS,28,61.66,6,2,5.176225130875499,0.1931909788921529,84
USSPC-FAC-2026-0448,Peterson SFB,Structural,26,48.99,6,2,5.196540902311877,0.19243570267196633,85
USSPC-FAC-2026-0396,Buckley SFB,HVAC,24,30.65,9,3,5.247501531673545,0.19056688101262503,86
USSPC-FAC-2026-0119,Vandenberg SFB,Power Production,24,36.24,4,1,5.274374027089064,0.1895959586605013,87
USSPC-FAC-2026-0183,Vandenberg SFB,Electrical,24,32.16,6,2,5.368642044067727,0.1862668421160591,88
USSPC-FAC-2026-0392,Schriever SFB,ESS,24,32.26,7,5,5.463103685275459,0.1830461323103331,89
USSPC-FAC-2026-0220,Schriever SFB,Plumbing,25,46.81,5,2,5.496444834308131,0.18193578397405596,90
USSPC-FAC-2026-0257,Schriever SFB,Electrical,26,46.86,9,4,5.51547023293446,0.18130820361040337,91
USSPC-FAC-2026-0472,Buckley SFB,Lighting,26,48.4,0,3,5.521658296194992,0.1811050134502358,92
USSPC-FAC-2026-0006,Buckley SFB,Structural,25,40.99,2,4,5.5710039274443295,0.17950086071088897,93
USSPC-FAC-2026-0021,Peterson SFB,Structural,24,35.14,1,4,5.692952329859568,0.17565578316104882,94
USSPC-FAC-2026-0351,Schriever SFB,Electrical,23,27.94,8,3,5.759379380186689,0.17362981911561193,95
USSPC-FAC-2026-0061,Vandenberg SFB,Plumbing,24,40.58,9,1,5.768160801037223,0.17336548589633308,96
USSPC-FAC-2026-0453,Vandenberg SFB,ESS,25,45.1,8,4,5.810895561445709,0.17209051331688488,97
USSPC-FAC-2026-0167,Peterson SFB,Structural,24,43.93,2,2,5.854863282028092,0.17079818124354315,98
USSPC-FAC-2026-0366,Schriever SFB,Structural,22,26.09,3,3,5.859009644189882,0.17067730908954132,99
USSPC-FAC-2026-0081,Buckley SFB,HVAC,24,40.1,9,1,6.026617139707022,0.16593056715207463,100
USSPC-FAC-2026-0248,Vandenberg SFB,Lighting,25,44.12,9,4,6.035328199522392,0.16569107212415313,101
USSPC-FAC-2026-0059,Schriever SFB,HVAC,23,33.71,8,5,6.146518696650482,0.16269372133284904,102
USSPC-FAC-2026-0141,Peterson SFB,HVAC,23,39.85,5,1,6.18788278132511,0.16160616406923178,103
USSPC-FAC-2026-0255,Vandenberg SFB,Electrical,22,30.3,4,1,6.209214020706556,0.16105097950645425,104
USSPC-FAC-2026-0324,Schriever SFB,Lighting,23,36.67,4,3,6.221793932422371,0.16072534880798656,105
USSPC-FAC-2026-0118,Schriever SFB,Power Production,24,41.63,9,5,6.350986199443956,0.15745586096338116,106
USSPC-FAC-2026-0070,Schriever SFB,Structural,23,38.84,5,1,6.40676698339719,0.15608496494276272,107
USSPC-FAC-2026-0025,Schriever SFB,Plumbing,23,35.96,5,5,6.459296710085112,0.1548156161395508,108
USSPC-FAC-2026-0484,Peterson SFB,ESS,24,46.07,1,3,6.478687714823787,0.15435224601301822,109
USSPC-FAC-2026-0194,Buckley SFB,Plumbing,24,45.88,9,3,6.590843072488009,0.15172565770444071,110
USSPC-FAC-2026-0250,Schriever SFB,Lighting,22,31.28,9,4,6.606573211901226,0.15136440147194283,111
USSPC-FAC-2026-0044,Peterson SFB,ESS,25,55.69,7,5,6.727678071789934,0.14863969252529124,112
USSPC-FAC-2026-0381,Buckley SFB,Lighting,22,33.79,3,1,6.757888246292803,0.14797522000287194,113
USSPC-FAC-2026-0130,Vandenberg SFB,Fire Protection,22,30.75,12,5,6.797104802874008,0.14712146259348122,114
USSPC-FAC-2026-0279,Schriever SFB,Plumbing,22,36.74,13,1,6.842445418562721,0.1461465804735719,115
USSPC-FAC-2026-0093,Buckley SFB,Lighting,22,33.13,10,2,6.982451208840484,0.14321618155153015,116
USSPC-FAC-2026-0179,Buckley SFB,HVAC,22,36.77,7,2,6.994408057438662,0.14297135537245134,117
USSPC-FAC-2026-0309,Buckley SFB,Lighting,23,40.39,7,3,7.09013809230139,0.14104097649181466,118
USSPC-FAC-2026-0265,Buckley SFB,HVAC,24,49.05,6,4,7.118767614284465,0.1404737525064602,119
USSPC-FAC-2026-0207,Vandenberg SFB,HVAC,22,38.53,13,3,7.1592828520927645,0.13967879474236516,120
USSPC-FAC-2026-0408,Vandenberg SFB,Lighting,23,45.82,2,3,7.218587351942358,0.13853125982203743,121
USSPC-FAC-2026-0069,Buckley SFB,Plumbing,23,46.1,7,1,7.252304338726149,0.1378872084366564,122
USSPC-FAC-2026-0164,Schriever SFB,Electrical,24,55.48,11,2,7.305161787625336,0.1368895075936527,123
USSPC-FAC-2026-0215,Peterson SFB,HVAC,24,51.59,4,5,7.375153769655357,0.13559039326263841,124
USSPC-FAC-2026-0326,Vandenberg SFB,ESS,24,54.02,3,5,7.391383289367826,0.1352926726771774,125
USSPC-FAC-2026-0266,Vandenberg SFB,Structural,23,47.62,12,2,7.5507572358513,0.13243704820120022,126
USSPC-FAC-2026-0464,Schriever SFB,Fire Protection,23,48.77,6,4,7.694945666768482,0.12995543351509503,127
USSPC-FAC-2026-0372,Schriever SFB,Electrical,22,42.66,13,4,7.808207347813911,0.128070369478594,128
USSPC-FAC-2026-0009,Peterson SFB,Lighting,22,44.78,6,1,7.933524485823299,0.12604738307506783,129
USSPC-FAC-2026-0434,Schriever SFB,Lighting,22,41.2,9,4,7.989841728640771,0.12515892479013094,130
USSPC-FAC-2026-0346,Vandenberg SFB,Electrical,21,34.15,13,4,8.09996770006206,0.12345728242747664,131
USSPC-FAC-2026-0209,Peterson SFB,Electrical,22,48.2,3,3,8.19890226302285,0.12196754735204154,132
USSPC-FAC-2026-0100,Peterson SFB,ESS,21,42.73,14,2,8.232861546598247,0.12146445003841853,133
USSPC-FAC-2026-0402,Peterson SFB,ESS,23,53.81,3,5,8.267856502177878,0.1209503333465675,134
USSPC-FAC-2026-0014,Peterson SFB,Plumbing,20,34.71,11,1,8.301793017040346,0.12045590608527455,135
USSPC-FAC-2026-0198,Schriever SFB,Electrical,22,47.4,12,3,8.357333876223363,0.11965538469690706,136
USSPC-FAC-2026-0262,Schriever SFB,Plumbing,22,48.91,9,4,8.471331609646617,0.11804519597146489,137
USSPC-FAC-2026-0395,Schriever SFB,Plumbing,21,45.43,9,2,8.628141121375277,0.11589981966365956,138
USSPC-FAC-2026-0387,Peterson SFB,ESS,20,40.2,11,1,8.719525572300746,0.11468513873927874,139
USSPC-FAC-2026-0314,Schriever SFB,Power Production,21,43.83,5,3,8.756226956895892,0.11420444044251943,140
USSPC-FAC-2026-0247,Peterson SFB,ESS,21,44.29,9,4,8.83344492666845,0.11320611701341662,141
USSPC-FAC-2026-0170,Buckley SFB,HVAC,22,49.29,12,2,8.985178685657052,0.11129439213004073,142
USSPC-FAC-2026-0362,Vandenberg SFB,Structural,20,36.14,11,3,9.063225761561041,0.1103359914348819,143
USSPC-FAC-2026-0360,Vandenberg SFB,Electrical,21,40.38,13,5,9.11862691653908,0.10966563377938308,144
USSPC-FAC-2026-0466,Buckley SFB,HVAC,20,34.17,9,5,9.145382189640861,0.10934480148163933,145
USSPC-FAC-2026-0161,Buckley SFB,Power Production,21,43.78,4,1,9.190033368613584,0.10881353308414166,146
USSPC-FAC-2026-0186,Schriever SFB,Plumbing,21,43.79,5,5,9.217607021138091,0.10848802706676149,147
USSPC-FAC-2026-0424,Vandenberg SFB,HVAC,20,36.55,7,5,9.229521395453427,0.10834798004722239,148
USSPC-FAC-2026-0256,Schriever SFB,Fire Protection,20,39.54,5,3,9.309186443708487,0.107420772593489,149
USSPC-FAC-2026-0018,Vandenberg SFB,ESS,22,52.5,6,5,9.309565733204936,0.1074163960659567,150
USSPC-FAC-2026-0415,Schriever SFB,Lighting,19,34.57,8,2,9.459590556806972,0.10571282065484491,151
USSPC-FAC-2026-0319,Buckley SFB,Plumbing,22,56.86,8,3,9.5070497621182,0.10518510211070957,152
USSPC-FAC-2026-0010,Peterson SFB,Structural,21,45.44,4,5,9.525169196375476,0.10498501174976721,153
USSPC-FAC-2026-0374,Vandenberg SFB,Electrical,21,45.73,7,4,9.656369887645841,0.10355858481346901,154
USSPC-FAC-2026-0410,Vandenberg SFB,ESS,20,43.23,7,1,9.713687811135953,0.10294751277198566,155
USSPC-FAC-2026-0249,Buckley SFB,Electrical,20,38.48,14,4,9.803562245169823,0.1020037385382743,156
USSPC-FAC-2026-0147,Schriever SFB,Lighting,21,48.78,13,4,9.892292681722196,0.10108880035946381,157
USSPC-FAC-2026-0306,Vandenberg SFB,Plumbing,21,49.15,9,4,10.047135311104784,0.09953085820340564,158
USSPC-FAC-2026-0082,Peterson SFB,Power Production,22,63.6,6,1,10.138209809291405,0.09863674344986686,159
USSPC-FAC-2026-0267,Schriever SFB,Electrical,20,44.31,5,4,10.142936098495635,0.09859078182976194,160
USSPC-FAC-2026-0455,Schriever SFB,Structural,20,43.91,14,4,10.14922010397347,0.09852973822180633,161
USSPC-FAC-2026-0037,Peterson SFB,Structural,22,62.74,4,1,10.260140359763783,0.09746455359632358,162
USSPC-FAC-2026-0452,Schriever SFB,Structural,22,61.86,6,3,10.309159566529004,0.09700111765140623,163
USSPC-FAC-2026-0461,Schriever SFB,Lighting,20,46.97,15,2,10.336873423051532,0.09674105109674368,164
USSPC-FAC-2026-0236,Peterson SFB,Power Production,19,41.43,11,3,10.563622871000186,0.09466449268510453,165
USSPC-FAC-2026-0203,Buckley SFB,ESS,19,42.53,11,2,10.70590485044152,0.0934063971210018,166
USSPC-FAC-2026-0315,Schriever SFB,Plumbing,21,60.37,4,1,11.038241235674061,0.0905941425494615,167
USSPC-FAC-2026-0196,Schriever SFB,Structural,21,58.89,4,4,11.128209987027535,0.08986171191644729,168
USSPC-FAC-2026-0077,Vandenberg SFB,Fire Protection,19,47.27,15,1,11.135853371918493,0.0898000329747265,169
USSPC-FAC-2026-0169,Schriever SFB,Structural,19,39.47,15,5,11.168638745737422,0.08953642630635322,170
USSPC-FAC-2026-0414,Schriever SFB,Plumbing,22,67.24,6,3,11.188971210843777,0.08937372177978717,171
USSPC-FAC-2026-0001,Schriever SFB,ESS,21,54.83,12,5,11.217399060750429,0.08914722517976474,172
USSPC-FAC-2026-0036,Buckley SFB,ESS,20,49.74,11,4,11.335223386882143,0.0882205816214672,173
USSPC-FAC-2026-0456,Peterson SFB,Fire Protection,19,50.28,11,1,11.632974589618762,0.08596253626242746,174
USSPC-FAC-2026-0347,Buckley SFB,Power Production,21,57.11,9,3,11.800195685770454,0.08474435735043562,175
USSPC-FAC-2026-0011,Schriever SFB,Lighting,20,54.63,14,3,11.891288075534233,0.08409517906285133,176
USSPC-FAC-2026-0058,Vandenberg SFB,Plumbing,20,50.95,12,5,11.90874958334748,0.08397187236167458,177
USSPC-FAC-2026-0421,Schriever SFB,Plumbing,19,50.87,8,3,11.923330679771384,0.08386918276925402,178
USSPC-FAC-2026-0034,Schriever SFB,Plumbing,19,51.48,7,1,12.2083654704033,0.0819110471769785,179
USSPC-FAC-2026-0237,Peterson SFB,Structural,19,52.38,12,2,12.248517050399139,0.08164253647076511,180
USSPC-FAC-2026-0363,Peterson SFB,Structural,21,63.97,7,5,12.412697053904335,0.08056266866558677,181
USSPC-FAC-2026-0199,Schriever SFB,HVAC,20,54.07,8,5,12.43284372213339,0.08043212175342995,182
USSPC-FAC-2026-0098,Schriever SFB,Plumbing,18,49.8,15,1,12.615841581987896,0.07926542145454149,183
USSPC-FAC-2026-0246,Vandenberg SFB,Power Production,20,55.93,15,5,12.784943028799798,0.07821700869118978,184
USSPC-FAC-2026-0191,Peterson SFB,Fire Protection,19,55.49,8,1,12.84951200350635,0.07782396714576569,185
USSPC-FAC-2026-0417,Peterson SFB,HVAC,18,49.44,12,1,13.475954650598947,0.07420624556313377,186
USSPC-FAC-2026-0187,Buckley SFB,Fire Protection,18,45.69,7,3,13.68716304775642,0.07306115931481642,187
USSPC-FAC-2026-0292,Vandenberg SFB,Plumbing,19,62.13,6,2,13.96511257059364,0.07160701318696862,188
USSPC-FAC-2026-0271,Schriever SFB,Structural,19,63.25,6,1,14.33015243423861,0.06978292831070865,189
USSPC-FAC-2026-0174,Schriever SFB,Structural,19,60.26,13,4,14.387277531864175,0.06950585319461958,190
USSPC-FAC-2026-0394,Vandenberg SFB,HVAC,19,57.32,14,5,14.825378110634418,0.0674519052760407,191
USSPC-FAC-2026-0125,Vandenberg SFB,Electrical,18,53.83,9,2,14.86860631292298,0.06725579916194666,192
USSPC-FAC-2026-0007,Vandenberg SFB,Power Production,21,71.06,13,5,14.948672560978688,0.06689557189247379,193
USSPC-FAC-2026-0263,Buckley SFB,ESS,17,50.28,9,1,15.212062412479272,0.06573730588823028,194
USSPC-FAC-2026-0027,Peterson SFB,Structural,19,62.07,7,5,15.255830119423656,0.0655487110286319,195
USSPC-FAC-2026-0065,Buckley SFB,Power Production,19,59.45,16,4,15.537235823024352,0.06436151265195562,196
USSPC-FAC-2026-0450,Peterson SFB,Electrical,18,56.25,8,5,15.59911031514796,0.06410622014955054,197
USSPC-FAC-2026-0389,Peterson SFB,Power Production,18,55.58,11,3,15.666371543591966,0.06383098965944231,198
USSPC-FAC-2026-0438,Schriever SFB,Power Production,17,50.55,14,2,15.83761837764978,0.06314080666391172,199
USSPC-FAC-2026-0049,Buckley SFB,HVAC,17,49.16,16,3,15.923152323352388,0.06280163498363524,200
USSPC-FAC-2026-0419,Peterson SFB,ESS,18,58.46,7,4,15.952398742875324,0.06268649725462892,201
USSPC-FAC-2026-0219,Vandenberg SFB,Plumbing,18,61.67,10,1,16.175321229994008,0.061822574388550204,202
USSPC-FAC-2026-0113,Vandenberg SFB,Electrical,19,63.32,7,4,16.34436054798127,0.06118318285162354,203
USSPC-FAC-2026-0289,Vandenberg SFB,Fire Protection,16,42.71,13,4,16.534506158132455,0.06047958072870247,204
USSPC-FAC-2026-0478,Schriever SFB,ESS,17,56.7,9,3,16.62809574928771,0.06013917739455142,205
USSPC-FAC-2026-0329,Buckley SFB,Plumbing,18,62.3,11,3,16.87924708408665,0.0592443486974473,206
USSPC-FAC-2026-0485,Vandenberg SFB,HVAC,17,55.09,16,1,16.88034880882245,0.05924048201405375,207
USSPC-FAC-2026-0328,Peterson SFB,Power Production,19,67.72,6,5,16.894524994231098,0.059190773362463034,208
USSPC-FAC-2026-0305,Schriever SFB,Lighting,18,60.97,14,4,16.993740383507,0.05884519696267303,209
USSPC-FAC-2026-0066,Schriever SFB,HVAC,16,51.58,10,1,17.163564526191273,0.05826295572076645,210
USSPC-FAC-2026-0184,Buckley SFB,Power Production,17,53.92,8,3,17.31253399877004,0.057761619418107396,211
USSPC-FAC-2026-0105,Peterson SFB,Lighting,17,59.78,17,2,17.364864884125485,0.0575875485742578,212
USSPC-FAC-2026-0388,Vandenberg SFB,ESS,16,54.11,9,2,17.733367338869556,0.056390869308172054,213
USSPC-FAC-2026-0423,Vandenberg SFB,Electrical,16,46.9,11,3,17.734642826280318,0.05638681363901711,214
USSPC-FAC-2026-0072,Schriever SFB,Power Production,17,56.5,8,3,17.74173477316137,0.056364274000575185,215
USSPC-FAC-2026-0190,Schriever SFB,Lighting,18,62.29,9,5,17.764459390407065,0.05629217180343845,216
USSPC-FAC-2026-0210,Schriever SFB,Fire Protection,17,59.32,17,2,17.892486122334983,0.05588938245712605,217
USSPC-FAC-2026-0470,Buckley SFB,Power Production,18,67.01,7,2,18.03100406473519,0.05546002853805504,218
USSPC-FAC-2026-0140,Schriever SFB,HVAC,17,61.56,12,1,18.10703302854127,0.05522715943709534,219
USSPC-FAC-2026-0343,Peterson SFB,Structural,17,56.96,14,5,18.22860613310313,0.05485882972609743,220
USSPC-FAC-2026-0296,Buckley SFB,Power Production,19,69.93,8,4,18.262983860222356,0.054755565008084324,221
USSPC-FAC-2026-0135,Schriever SFB,Power Production,17,58.69,17,4,18.40467729311183,0.05433401434179245,222
USSPC-FAC-2026-0124,Vandenberg SFB,Power Production,18,67.39,12,4,18.498673993536006,0.0540579287115082,223
USSPC-FAC-2026-0443,Buckley SFB,Plumbing,18,64.48,8,5,18.68101129905295,0.053530292551704405,224
USSPC-FAC-2026-0382,Peterson SFB,Lighting,16,55.62,19,3,19.135361732335063,0.05225926815431941,225
USSPC-FAC-2026-0146,Vandenberg SFB,ESS,16,57.11,14,2,19.301386555420283,0.051809749373636395,226
USSPC-FAC-2026-0038,Peterson SFB,Electrical,15,49.84,17,1,19.531827267954245,0.05119848677141919,227
USSPC-FAC-2026-0488,Vandenberg SFB,Plumbing,16,57.12,13,4,20.083826577705192,0.04979130825149066,228
USSPC-FAC-2026-0099,Vandenberg SFB,ESS,16,56.89,15,5,20.233269745943293,0.04942354906331918,229
USSPC-FAC-2026-0320,Schriever SFB,Lighting,17,63.22,18,5,20.28033200184675,0.049308857463918186,230
USSPC-FAC-2026-0330,Peterson SFB,ESS,15,51.62,12,3,20.47456199826763,0.048841093649994116,231
USSPC-FAC-2026-0425,Vandenberg SFB,Electrical,15,52.82,18,3,20.56377403598436,0.04862920581845089,232
USSPC-FAC-2026-0253,Peterson SFB,Electrical,18,79.02,16,2,20.652414351439692,0.04842048890667785,233
USSPC-FAC-2026-0433,Vandenberg SFB,Power Production,15,53.17,14,3,20.716317862221803,0.04827112649316875,234
USSPC-FAC-2026-0439,Schriever SFB,HVAC,16,59.87,15,3,20.795322675663808,0.0480877366317702,235
USSPC-FAC-2026-0384,Schriever SFB,Power Production,15,50.99,12,5,20.846031043846793,0.04797076229506883,236
USSPC-FAC-2026-0291,Buckley SFB,Fire Protection,16,60.53,12,2,21.696878754026006,0.046089578659531526,237
USSPC-FAC-2026-0026,Peterson SFB,Structural,15,57.65,18,1,21.710459856952408,0.04606074705873938,238
USSPC-FAC-2026-0189,Schriever SFB,HVAC,17,67.58,14,5,21.802281592042593,0.04586675920950312,239
USSPC-FAC-2026-0359,Buckley SFB,Electrical,15,52.71,17,2,21.89118078403568,0.04568049617173954,240
