id,installation_id,facility_type_key,title,year_constructed,age_years,condition_index,dependency_chain,resiliency_grade,life_expectancy,mission_criticality
ce936489-693c-42a8-8154-e268f4561ab4,30da8956-ce7c-4eef-976b-ecf0b3c91474,16,Truck fill stand,1985,41,62.94,A2,1,30,1
0628682d-28c1-4e14-a7e2-f987e1b88f61,30da8956-ce7c-4eef-976b-ecf0b3c91474,19,Maintenance Shop,1989,37,66.27,A1,1,40,1
776c28a8-c600-4ff2-a331-0452ec5bab26,30da8956-ce7c-4eef-976b-ecf0b3c91474,17,Entry control point,1963,63,62.15,B2,1,30,1
b9aeac8c-b79e-4a2a-9a8c-43459514e0cb,30da8956-ce7c-4eef-976b-ecf0b3c91474,21,Random Facility,2010,16,57.92,C2,3,30,1
811d4c58-b917-48aa-ba6d-23523af8a705,30da8956-ce7c-4eef-976b-ecf0b3c91474,4,Power generation Facility,1956,70,65.96,C123,1,60,2
cf9c45a3-c908-46a3-8742-e8258ba392af,50ca09d2-48be-470d-8e44-09733a20a16b,14,Dorm Facility,1990,36,66.67,A23,1,50,1
2a68db9c-888d-4cb9-afba-58c3ccd50830,50ca09d2-48be-470d-8e44-09733a20a16b,7,Data Center,2007,19,66.29,A123,1,40,2
bcae54bb-679b-4d5f-8761-b4e9dc2ded17,50ca09d2-48be-470d-8e44-09733a20a16b,1,Heating - Cooling Plant,1987,39,69.29,C3,1,60,3
7075a468-f0fd-43a3-8292-da81489eca7e,50ca09d2-48be-470d-8e44-09733a20a16b,25,Switching Station,1990,36,66.78,C3,2,30,2
ba051c0a-c89e-4a1b-8318-ddbef73981b6,50ca09d2-48be-470d-8e44-09733a20a16b,26,Substation,2010,16,69.48,B2,1,30,2
18e805fd-64b4-45ca-afd6-17077c3e4138,50ca09d2-48be-470d-8e44-09733a20a16b,17,Entry control point,2000,26,59.39,C12,1,30,1
9bb792fb-f762-4abd-b0c8-46b6f13d9f2b,50ca09d2-48be-470d-8e44-09733a20a16b,21,Random Facility,1980,46,65.44,A123,1,30,1
d80fa03d-5753-4551-acb3-b2a69102aa5b,50ca09d2-48be-470d-8e44-09733a20a16b,22,Water Treatment Facility,2019,7,60.1,B3,1,30,1
ba9365b6-e8c2-4108-beaf-524d5c004436,50ca09d2-48be-470d-8e44-09733a20a16b,2,Antenna support building,1967,59,63.85,B2,1,30,1
12837a49-6c23-4d21-bad7-77ee0d4519a7,f8936d8d-e62e-45ab-95cd-f0959638a4b8,27,Fuel intake Facility,1989,37,65.97,B12,1,30,1
2033d2fc-d2ef-4b8b-b43f-10a52d62d678,f8936d8d-e62e-45ab-95cd-f0959638a4b8,23,Standby Generator,2012,14,65.96,A23,1,30,2
a5175808-75a0-46a6-9f97-08a9ae7d2374,f8936d8d-e62e-45ab-95cd-f0959638a4b8,9,Ground monitoring Station,2011,15,68.63,C2,1,30,1
e6e1ff19-ab74-4990-b4f1-aaf7009d65b1,f8936d8d-e62e-45ab-95cd-f0959638a4b8,22,Water Treatment Facility,2000,26,64.55,A123,1,30,1
8f33e7b7-6bdc-421c-89d1-5fdd6ea357e7,f8936d8d-e62e-45ab-95cd-f0959638a4b8,15,Central Utility Plant,1995,31,60.72,C123,2,50,1
abc0ac84-5b3d-46da-afc1-70f5ab38d151,f8936d8d-e62e-45ab-95cd-f0959638a4b8,2,Antenna support building,1995,31,66.95,A2,1,30,1
c3638360-37c7-4bdc-8869-8df2a9119e86,f8936d8d-e62e-45ab-95cd-f0959638a4b8,19,Maintenance Shop,2011,15,64.73,B1,2,40,1
a7e775e7-8db2-4cc5-a2e6-5f203550572f,f8936d8d-e62e-45ab-95cd-f0959638a4b8,7,Data Center,2000,26,60.86,A3,2,40,2
4777280d-3b60-4ae9-b26e-ffbe185eba4c,f8936d8d-e62e-45ab-95cd-f0959638a4b8,5,Ground Terminal,1952,74,64.02,A13,1,30,1
7ab828b3-9e7a-49a5-87a3-7ecd0665cf88,f8936d8d-e62e-45ab-95cd-f0959638a4b8,21,Random Facility,1979,47,68.46,A123,1,30,1
