id,installation_id,facility_id,system_id,requesting_organization,work_category,room_area,impacts_mission,status,priority,trade,request_datetime,completion_datetime,problem_description,requested_action,actions_taken
5b9ed7e8-50e2-434d-9fe3-96e5b487e394,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,343eba94-4f22-4c63-b1fb-25c948d25c7c,J1,,,False,Completed,Routine,Fire Protection,1999-12-31 02:28:57.000000,2000-12-19 02:28:57,example text,example text,example text
8a6a7ead-62a6-4a05-9900-741fe90f5be1,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,3117fdb2-9294-4064-a719-095a143d6dbc,J1,,,True,Completed,Maintenance,Electrical,2005-10-22 02:44:21.000000,2006-04-06 02:44:21,example text,example text,example text
3af9f4db-11d1-4459-9d07-0e84478e090b,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,True,In Progress,Urgent,Structural,2025-12-16 17:36:13.960922,,example text,example text,example text
51603424-c924-4265-882f-0d8fde126a8a,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,True,Completed,Routine,Structural,1994-10-05 00:12:19.000000,1995-02-12 00:12:19,example text,example text,example text
a0c7804c-49e1-4be5-8576-53c247e61b49,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,False,Completed,Routine,Structural,1963-04-01 08:51:51.000000,1963-06-28 08:51:51,example text,example text,example text
ca960ca5-2b80-4181-937d-fd0627c31bc8,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,True,Approved,Routine,Fire Protection,2025-12-04 16:28:04.960968,,example text,example text,
ca5113f3-a688-425c-b7da-72faf0576799,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,False,Approved,Emergency,HVAC,2026-02-11 11:55:43.960982,,example text,example text,
6f1da22e-8807-4357-8879-6b4bc360f7e6,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,True,Completed,Routine,HVAC,1968-06-08 04:25:49.000000,1969-03-02 04:25:49,example text,example text,example text
f711c132-76e0-48bd-abee-5b0e0ab6f452,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,True,Completed,Routine,HVAC,1988-02-26 12:07:56.000000,1989-01-05 12:07:56,example text,example text,example text
02a6a20b-d223-4d28-a43f-d80835814c41,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,False,Completed,Maintenance,Electrical,2015-09-28 01:29:12.000000,2016-03-25 01:29:12,example text,example text,example text
b776bec2-cdf1-4b28-af18-49b8049d7366,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,False,Completed,Urgent,Structural,1970-06-29 15:05:31.000000,1970-07-22 15:05:31,example text,example text,example text
4ab3322b-0004-47b1-a060-60e5f5554448,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,Completed,Urgent,Electrical,1962-01-11 21:50:21.000000,1962-08-05 21:50:21,example text,example text,example text
cf4628c5-5568-4651-a62d-9cdd0060638f,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,In Progress,Urgent,Electrical,2025-10-29 23:24:11.961072,,example text,example text,example text
836d2db4-d33c-441a-b016-5b069f025e76,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J5,,,False,In Progress,Routine,Plumbing,2026-03-03 04:24:42.961085,,example text,example text,
f7ece801-f9d7-4df4-a9f0-8d6c3219e513,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,Completed,Routine,Structural,2018-11-30 11:07:02.000000,2019-10-31 11:07:02,example text,example text,example text
cb538f6d-9bc8-45c9-8290-65f4bfa4d534,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,False,Approved,Urgent,Structural,2026-01-17 18:02:34.961114,,example text,example text,
5a9d4c2f-f4b8-401d-bac3-8a671302dd33,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,Approved,Maintenance,Electrical,2026-03-22 02:51:00.961126,,example text,example text,
319de9d1-07f1-4abf-af78-3a2e3723fa4a,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,False,Submitted,Routine,HVAC,2026-03-22 05:54:39.961139,,example text,example text,
53061abd-4881-4ad0-86a6-bd7d31d4f378,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,True,Completed,Routine,Plumbing,1988-04-17 11:54:04.000000,1988-05-04 11:54:04,example text,example text,example text
36493c72-9a88-48a3-a08e-f1478282a034,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,False,In Progress,Urgent,Structural,2025-10-26 11:40:28.961168,,example text,example text,
f8ffa9e3-ba6e-4c0c-bfa6-3c3fd31fa733,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,True,Approved,Urgent,Electrical,2026-01-15 13:20:02.961181,,example text,example text,
21454be1-3ce6-4d55-b948-22af8f75e748,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,True,Completed,Emergency,Plumbing,1959-01-10 12:59:13.000000,1959-04-26 12:59:13,example text,example text,example text
71049a56-26e1-49e9-a8da-8544426fec93,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,False,Submitted,Routine,Fire Protection,2026-03-15 20:18:35.961207,,example text,example text,
46a71a24-d8f6-484b-92d0-2fbaa0efec03,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,Completed,Emergency,Electrical,1999-06-05 23:19:00.000000,1999-08-31 23:19:00,example text,example text,example text
dc5ba64a-c6ec-4006-b009-9f636e9f416c,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J5,,,False,Completed,Routine,HVAC,1957-06-02 08:14:55.000000,1957-07-04 08:14:55,example text,example text,example text
52f2d753-0aae-488a-8b53-7ae93820b8fd,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,Approved,Routine,Structural,2026-01-01 22:40:22.961249,,example text,example text,
f8511354-fa5d-4874-8015-14d4af939373,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,In Progress,Urgent,Structural,2026-02-07 14:41:46.961262,,example text,example text,
07686e49-dca6-4b83-8904-3db79fdd7c86,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,Completed,Urgent,Structural,2025-08-31 00:09:41.000000,2026-01-05 00:09:41,example text,example text,example text
ba90b911-903c-4d65-bc09-91c6e2ab3219,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,True,Completed,Routine,Plumbing,1972-05-26 17:37:41.000000,1973-03-11 17:37:41,example text,example text,example text
0ca0276a-3da8-4a14-9202-6ed3267bb06d,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J5,,,False,Completed,Urgent,Electrical,1995-10-18 02:13:03.000000,1995-12-02 02:13:03,example text,example text,example text
f20e4984-24bc-4f3a-8e01-aebef165f40f,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,False,Approved,Routine,HVAC,2026-03-12 03:58:26.961319,,example text,example text,
bb287158-1663-4dc0-afd1-ed71c74ffa28,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,False,Completed,Urgent,Structural,2021-01-05 20:07:03.000000,2021-06-07 20:07:03,example text,example text,example text
6be87c54-7ec9-4a29-ad70-9a49d168ef4d,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,Approved,Maintenance,Plumbing,2026-01-16 19:23:48.961347,,example text,example text,
b4d1ba7e-ada0-4061-ad75-e247af09868b,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,In Progress,Urgent,Fire Protection,2025-11-22 22:33:46.961361,,example text,example text,example text
1f90749c-b30e-4c9d-a435-f76836461029,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J3,,,False,Completed,Urgent,Electrical,1986-01-15 11:40:11.000000,1986-10-04 11:40:11,example text,example text,example text
dd833619-6ba6-480e-9d69-01a6e471fb4f,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,False,Completed,Maintenance,Electrical,2007-03-14 16:56:18.000000,2007-05-05 16:56:18,example text,example text,example text
b9116936-56c2-4116-915a-eed8b672f8e3,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J6,,,True,In Progress,Maintenance,Electrical,2025-11-08 07:12:58.961405,,example text,example text,
908e170f-01b4-450d-ad18-2fed6bef7542,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,False,Completed,Maintenance,HVAC,2016-06-18 13:55:21.000000,2016-09-23 13:55:21,example text,example text,example text
aeaf89d1-a1be-4525-87a1-a73b179b857d,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J5,,,False,Completed,Routine,HVAC,2001-08-02 15:01:36.000000,2002-05-13 15:01:36,example text,example text,example text
9062af71-525c-42be-b2de-4f5d9977f0b9,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J4,,,False,In Progress,Routine,Structural,2025-12-16 16:22:50.961450,,example text,example text,example text
6eea6fe7-1c45-48f9-82a3-5bbbf561e17d,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,False,In Progress,Maintenance,Plumbing,2025-12-11 17:54:32.961464,,example text,example text,
514d0438-f55b-465a-bda8-1f1fd628443f,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J1,,,True,Completed,Routine,Electrical,1967-10-03 15:23:39.000000,1968-03-28 15:23:39,example text,example text,example text
40d41651-64ac-4a8f-b766-b458947cff55,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,c93e199e-81ce-40a6-af3b-1a08ca022fe0,J2,,,False,In Progress,Routine,Structural,2025-10-26 06:41:35.961493,,example text,example text,example text
c5aa8c4f-49c7-48fb-9a3d-20b4370f9da9,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J3,,,False,In Progress,Emergency,Fire Protection,2026-03-07 01:48:01.961512,,example text,example text,example text
a0a17c4e-073c-40ba-b9a2-ab3d93d60f9a,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J3,,,True,Completed,Maintenance,HVAC,2015-04-06 12:18:06.000000,2016-04-05 12:18:06,example text,example text,example text
7772aaeb-9d58-485f-aff0-e73223f8ddb6,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J5,,,True,Completed,Routine,HVAC,2021-10-26 02:54:11.000000,2022-09-16 02:54:11,example text,example text,example text
4f40b39a-1b65-416c-ae58-cb6b5ac76976,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J1,,,False,Completed,Routine,Structural,2018-09-11 17:14:57.000000,2018-11-02 17:14:57,example text,example text,example text
64cc317a-4386-4656-9bda-c8022a7e69a8,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J4,,,False,Completed,Urgent,Plumbing,2007-08-08 19:00:36.000000,2008-01-25 19:00:36,example text,example text,example text
76880afa-f3d1-4ffd-b37e-d9430eca09ad,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,bbc07ade-8cdb-48ed-be01-e71d840e62c2,J3,,,False,Completed,Routine,Plumbing,2011-06-12 03:09:26.000000,2012-03-04 03:09:26,example text,example text,example text
fa15e886-2727-4f08-b4e7-effec327080c,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J6,,,True,Approved,Routine,Electrical,2025-12-30 09:41:10.961613,,example text,example text,
dfb3e59e-8ddd-45cc-baea-642a4f53d780,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J4,,,False,Approved,Urgent,Electrical,2025-12-06 07:16:35.961629,,example text,example text,
ec3dc5ba-a5b4-4c83-ad48-73695af7a9fb,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J3,,,True,Approved,Routine,Plumbing,2025-12-26 10:18:05.961642,,example text,example text,
8f2eba57-e7ae-475a-98ff-f60872834968,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J3,,,False,In Progress,Maintenance,Electrical,2026-03-15 20:25:20.961656,,example text,example text,
299c1bc1-7d62-4cc3-8070-dd01e67706c0,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J1,,,False,Approved,Maintenance,Structural,2026-03-06 00:20:15.961670,,example text,example text,
4d5850b5-1290-4642-846c-45833c039895,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J2,,,True,Completed,Maintenance,HVAC,1996-04-25 11:35:32.000000,1996-07-07 11:35:32,example text,example text,example text
114d35e6-0780-4da7-b019-1847b1d66037,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J6,,,True,Completed,Urgent,Structural,2024-04-19 12:06:27.000000,2024-10-17 12:06:27,example text,example text,example text
ec344d88-50da-43d1-8ea5-fb5d52b67a0c,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J6,,,False,Approved,Maintenance,Plumbing,2026-02-19 02:00:47.961715,,example text,example text,
24d1877d-ca7e-4529-923f-a13b8b379ae1,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J6,,,False,In Progress,Urgent,Structural,2025-11-26 20:04:11.961739,,example text,example text,example text
02d852b1-b4d5-4968-9d8b-d0312ef07a82,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J1,,,True,In Progress,Urgent,Fire Protection,2025-12-23 17:01:48.961753,,example text,example text,example text
fab993e1-3617-45c8-983e-839099b379e3,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J1,,,False,Completed,Maintenance,Structural,1976-08-01 13:43:44.000000,1977-06-23 13:43:44,example text,example text,example text
98cf34e6-7cf0-4676-a168-abb821d365a7,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J3,,,True,Completed,Routine,Structural,1982-07-21 15:29:58.000000,1983-02-09 15:29:58,example text,example text,example text
54f992b6-f60e-43e7-a22f-3aa5664e174e,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J5,,,True,Submitted,Routine,Electrical,2026-02-09 14:29:02.961796,,example text,example text,
b2596b1b-5314-4a8b-9822-5c8694f691ae,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J1,,,True,Completed,Routine,HVAC,1972-04-12 13:27:20.000000,1973-01-19 13:27:20,example text,example text,example text
4cec6f3a-64cc-42b8-a49b-b1ba4a7b2441,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J2,,,False,Completed,Maintenance,Plumbing,2009-07-09 13:55:15.000000,2009-09-09 13:55:15,example text,example text,example text
dabea9dc-c36a-4b01-8d85-658399328490,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J4,,,False,Completed,Routine,Electrical,1991-01-22 14:07:15.000000,1991-10-13 14:07:15,example text,example text,example text
3d3fa9c6-47b1-4bea-beb3-d293310833da,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J4,,,True,Approved,Maintenance,Electrical,2026-01-20 11:50:15.961856,,example text,example text,
b77e4752-7c99-40d1-a1c7-a822afb26702,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J3,,,False,Approved,Urgent,Electrical,2026-01-13 02:25:46.961870,,example text,example text,
831c1f45-088a-491e-95aa-aeffdabad086,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J5,,,False,Submitted,Routine,Electrical,2026-02-22 14:38:51.961882,,example text,example text,
8876ef46-7d6d-44fa-bcd0-fa0e144fccf9,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J4,,,True,In Progress,Routine,Fire Protection,2025-12-08 00:39:14.961895,,example text,example text,example text
82fac67d-c1db-4806-95ad-f5ddb9e38262,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J2,,,True,Completed,Emergency,Plumbing,1988-07-01 03:19:19.000000,1988-08-28 03:19:19,example text,example text,example text
f2abba28-3e18-40b1-af97-4308909dd350,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J2,,,True,Completed,Routine,Structural,2023-09-22 11:13:09.000000,2024-01-25 11:13:09,example text,example text,example text
0a0449c8-3e86-4855-9ed9-cd4015ff1e83,7c325a95-4761-4c2f-a35f-5222d61742cb,bab4d946-7ded-438a-a6c5-1d059f44345d,616b8e5c-89a3-429c-9196-41170767c76e,J1,,,True,In Progress,Routine,HVAC,2025-12-20 03:14:45.961938,,example text,example text,
