id,facility_id,system_type_key,title,year_constructed,age_years,condition_index,life_expectancy
81239a77-e852-40d9-8559-7e55ee450855,b6560b92-5bde-47ab-860a-27f7f5bcbad9,22,Special construction2,1995,31,57.98,30
2efc8ff0-32ea-4ba5-b514-174710fc3389,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,1,Foundation,1995,31,84.56,60
2678c350-61f5-48e4-b8e1-b8b80d528c80,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,2,Basement,1988,38,65.43,60
31c15ca2-3a04-46b9-8bce-8d8aa8af6348,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,3,Superstructure,1952,74,58.01,50
b9b9320e-1865-482a-9d87-81d0b62f1d32,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,4,Exterior Structure,1984,42,73.15,40
06a33f07-38a3-47f9-bb2c-425976c92497,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,5,Roofing,1987,39,64.81,20
7b364ffe-bfc4-47ec-85b8-7d71c62638e7,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,6,Interior Construction,1961,65,58.67,30
7afdfb0a-dc49-413a-bdca-dc9056318e66,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,7,Stairs,2008,18,69.67,40
fb91dc74-1697-4624-97af-8c96a8b05971,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,8,Interior Finishes,1985,41,84.35,20
490680ec-5906-4967-ac5a-d3b4c875dab0,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,9,Conveying,2023,3,53.34,10
ba7678f0-fda1-434a-8253-6c7d18ac191a,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,10,Plumbing,1957,69,50.18,30
8b41b68b-16a2-4f45-bed4-96e70d14e36c,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,11,Art,2006,20,17.6,10
9c01cce7-08bb-4359-809e-19dab4647ce8,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,12,HVAC,1992,34,55.33,40
8498c082-3ade-4248-84bb-cddd2fa4dc40,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,13,Fire Protection,1988,38,77.04,30
44898bcc-b7bf-4532-bb1e-0858fd12449c,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,14,Electric,2002,24,61.45,40
a89f5a1b-5967-49f6-91a2-b5bb03449bbd,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,15,Furnishing,2024,2,51.01,20
d8dd8e2e-deba-4fb9-a339-decb6ec92187,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,16,Protection,1989,37,57.66,10
5f0d8869-5658-4fa4-8be9-8b2782747951,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,17,Special construction,1967,59,80.16,10
b1420728-a990-459a-8e4a-4aba8973dd2f,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,18,Improvements,2000,26,65.03,10
3476f119-32d1-4f3b-b6bb-ae7282a1844d,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,19,Utilities,1951,75,74.77,30
30343668-0484-4000-83ce-7fd3a485be58,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,20,Distribution,2009,17,84.7,30
050c485e-6412-41e8-a033-6f4ab8a10840,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,21,Other Construction,2008,18,75.16,30
e980c1ae-f7d6-495d-8b76-7d09019be582,1fb92ad7-025a-48eb-bce7-1dd7a56eb3a1,22,Special construction2,2021,5,47.38,30
01011682-cd05-4e0c-961e-b7b7b396ca03,faade3f4-d6f5-43b2-8392-aabfecca581b,1,Foundation,2007,19,72.3,60
ea5db720-b45f-4c1a-8ece-4a5a3fe72141,faade3f4-d6f5-43b2-8392-aabfecca581b,2,Basement,2001,25,75.36,60
b8f3b484-a42c-419f-ac57-c33006628edb,faade3f4-d6f5-43b2-8392-aabfecca581b,3,Superstructure,1991,35,50.33,50
070622b5-e183-4b98-b200-abb6bcc8f0d3,faade3f4-d6f5-43b2-8392-aabfecca581b,4,Exterior Structure,1998,28,95.31,40
04dad18b-71f0-417d-beef-94af628a6aa0,faade3f4-d6f5-43b2-8392-aabfecca581b,5,Roofing,2014,12,89.05,20
e9b46ac2-95e0-4ef7-826f-d65686f7fa31,faade3f4-d6f5-43b2-8392-aabfecca581b,6,Interior Construction,2012,14,73.61,30
9b90bb9d-f647-403e-ab4a-9a944cf166ce,faade3f4-d6f5-43b2-8392-aabfecca581b,7,Stairs,1970,56,53.24,40
9f9c1be8-31d0-4e8d-ac8c-7d12a9d9eba9,faade3f4-d6f5-43b2-8392-aabfecca581b,8,Interior Finishes,2013,13,66.1,20
a915d563-8f18-4a80-b0f3-a1daa70cba57,faade3f4-d6f5-43b2-8392-aabfecca581b,9,Conveying,1992,34,55.98,10
1f4b4c8a-6a7a-448a-876d-f113aa96b4d5,faade3f4-d6f5-43b2-8392-aabfecca581b,10,Plumbing,1983,43,37.03,30
8ba60523-bc75-442a-b259-0600751d4cd4,faade3f4-d6f5-43b2-8392-aabfecca581b,12,HVAC,2014,12,57.5,40
6bfbf6b0-3804-4272-a208-ca17d05f1690,faade3f4-d6f5-43b2-8392-aabfecca581b,13,Fire Protection,2013,13,63.99,30
f4d2ec70-4b2f-4c4b-b443-10c4a6179987,faade3f4-d6f5-43b2-8392-aabfecca581b,14,Electric,2005,21,78.67,40
93d3847e-39a2-4051-81ea-3e4ed39c2691,faade3f4-d6f5-43b2-8392-aabfecca581b,15,Furnishing,1995,31,76.21,20
672c3521-bd51-435a-a212-ddc1736d3af3,faade3f4-d6f5-43b2-8392-aabfecca581b,16,Protection,2013,13,82.24,10
2bca189b-e97f-4994-921f-66534ab82cf2,faade3f4-d6f5-43b2-8392-aabfecca581b,18,Improvements,1996,30,72.79,10
8f45eef0-075c-49c4-bd4d-89875b5bace2,faade3f4-d6f5-43b2-8392-aabfecca581b,19,Utilities,2002,24,79.99,30
f6c31aed-f813-4b52-b7c1-3ebae35b8d3d,faade3f4-d6f5-43b2-8392-aabfecca581b,20,Distribution,2025,1,22.21,30
c0aa3090-2531-4bf9-96fd-4a58e4532120,faade3f4-d6f5-43b2-8392-aabfecca581b,21,Other Construction,2006,20,82.28,30
77d23119-43ba-4bd1-b3db-0b10b353c5ca,faade3f4-d6f5-43b2-8392-aabfecca581b,22,Special construction2,2021,5,79.68,30
41758ce4-427b-4f06-b10f-293ac282494f,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,1,Foundation,2003,23,52.21,60
96d5393d-045c-4dbc-8896-31d152175114,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,3,Superstructure,1994,32,74.76,50
76e45422-7c21-4c47-b1c3-4862f0dc6a31,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,4,Exterior Structure,1975,51,76.06,40
843bfbe8-18bb-45cf-83b4-8e2f424aa318,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,5,Roofing,2005,21,79.31,20
0d5faa63-2062-4718-b435-ae27e4afedf4,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,6,Interior Construction,1988,38,72.61,30
c69f6c2c-a458-425d-b485-600d0da86f60,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,7,Stairs,1952,74,80.13,40
7440a4e3-7f5f-4f06-86c0-f139331721e4,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,8,Interior Finishes,2012,14,64.32,20
8ad20763-e7ca-401b-8fc9-3ba18ade8481,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,9,Conveying,1991,35,59.09,10
1e804e1e-a8de-49ee-9236-bc742ba7da43,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,10,Plumbing,1994,32,65.65,30
32cf596b-f6bc-4824-8c69-ed077dda8c8a,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,13,Fire Protection,1994,32,53.6,30
1a03f5b5-6c63-4807-a32e-3b5380716fb6,b8e6a466-0e32-4435-a8cf-0ae9a845ad92,18,Improvements,1971,55,77.99,10
c538f336-cf25-4888-8351-1dbe61d94d88,78670683-2582-4054-b2cc-25fa31cf32fc,1,Foundation,2018,8,81.53,60
913407f3-d782-4f24-b1ee-cfe494b4a5c5,78670683-2582-4054-b2cc-25fa31cf32fc,2,Basement,2024,2,88.53,60
18768ea9-cdc8-4cd2-a7e5-4a8ee3d06ab1,78670683-2582-4054-b2cc-25fa31cf32fc,3,Superstructure,2008,18,67.66,50
4ae57751-aa4d-4b6b-a7b1-1815cb61aa82,78670683-2582-4054-b2cc-25fa31cf32fc,4,Exterior Structure,1996,30,89.75,40
f9e612e2-2cb2-4133-9b1f-77c2e9ae9c9f,78670683-2582-4054-b2cc-25fa31cf32fc,5,Roofing,1996,30,72.65,20
1322ac8e-49a9-41d6-ac02-14b5a34f2f2a,78670683-2582-4054-b2cc-25fa31cf32fc,6,Interior Construction,2014,12,69.08,30
e0417539-d36d-46b1-a8a8-e5bc71f22ed6,78670683-2582-4054-b2cc-25fa31cf32fc,7,Stairs,2003,23,97.95,40
6e30782b-81a2-48ee-8398-d50c0983bdda,78670683-2582-4054-b2cc-25fa31cf32fc,8,Interior Finishes,1997,29,63.48,20
8f8076b4-a35a-4337-a2d1-82a57f5c05a8,78670683-2582-4054-b2cc-25fa31cf32fc,9,Conveying,1990,36,51.63,10
c2e2a1b7-6438-48e1-91c5-eddaece1e483,78670683-2582-4054-b2cc-25fa31cf32fc,10,Plumbing,2008,18,76.17,30
e9276d48-b7ec-49a0-a8f3-f53b7d9be88b,78670683-2582-4054-b2cc-25fa31cf32fc,12,HVAC,1995,31,82.2,40
8b1c663e-f0df-46fb-bc20-fc12c6e164ac,78670683-2582-4054-b2cc-25fa31cf32fc,13,Fire Protection,2014,12,61.17,30
92fc85f0-45d5-499c-85a4-d99b35e99c3e,78670683-2582-4054-b2cc-25fa31cf32fc,14,Electric,1992,34,65.19,40
8cf2fe93-7511-4ceb-a6cc-e654d0c0eea8,78670683-2582-4054-b2cc-25fa31cf32fc,15,Furnishing,1965,61,69.61,20
bbea67aa-69b2-4911-a596-6ac96c7d0c3d,78670683-2582-4054-b2cc-25fa31cf32fc,16,Protection,2001,25,79.89,10
e913d9a0-96d2-4eb6-869b-54db5262a0a1,78670683-2582-4054-b2cc-25fa31cf32fc,18,Improvements,1992,34,64.5,10
bfc33265-61d2-439f-a046-bdb29ff96d8f,78670683-2582-4054-b2cc-25fa31cf32fc,19,Utilities,1997,29,95.34,30
1f7fcd82-be20-4637-aab1-0094c072a671,78670683-2582-4054-b2cc-25fa31cf32fc,20,Distribution,2019,7,68.29,30
5e2db5de-b72d-45fb-8b3c-273722dbbb42,78670683-2582-4054-b2cc-25fa31cf32fc,21,Other Construction,2001,25,52.64,30
876c6256-7f36-4ccd-8dd1-55643aee4b8b,78670683-2582-4054-b2cc-25fa31cf32fc,22,Special construction2,2001,25,75.81,30
301c9733-f2ef-4caa-92ef-5ab4317eee29,f5f10a80-d022-4120-b7b1-4fa4ba372bec,1,Foundation,2009,17,77.83,60
2f4a939b-ce83-4f5a-b6aa-356ed8eaba0c,f5f10a80-d022-4120-b7b1-4fa4ba372bec,2,Basement,1992,34,36.45,60
72fd2a0e-54a6-4aa9-a7b6-de8237118c2d,f5f10a80-d022-4120-b7b1-4fa4ba372bec,3,Superstructure,1981,45,51.43,50
35a0a476-cb19-47c1-8f5f-cccb88c56544,f5f10a80-d022-4120-b7b1-4fa4ba372bec,4,Exterior Structure,2014,12,80.11,40
0ac4fabf-fd50-4138-881c-d83cc182a6a1,f5f10a80-d022-4120-b7b1-4fa4ba372bec,5,Roofing,1969,57,76.61,20
c8dbaf63-9721-4248-8c90-57461fbe2651,f5f10a80-d022-4120-b7b1-4fa4ba372bec,6,Interior Construction,1991,35,63.9,30
d98db449-d677-475f-adba-aecbcd32b000,f5f10a80-d022-4120-b7b1-4fa4ba372bec,7,Stairs,2002,24,55.89,40
77d6407f-c241-43ab-acc5-d57a78ed9955,f5f10a80-d022-4120-b7b1-4fa4ba372bec,8,Interior Finishes,2007,19,63.51,20
621fef65-5478-4b10-bb8d-26389467554f,f5f10a80-d022-4120-b7b1-4fa4ba372bec,9,Conveying,1950,76,96.24,10
1ee09e53-021c-490a-91eb-d7ea41bf1d97,f5f10a80-d022-4120-b7b1-4fa4ba372bec,10,Plumbing,2007,19,83.68,30
57748da8-a104-4dea-9a67-39a7aa2ea8e2,f5f10a80-d022-4120-b7b1-4fa4ba372bec,12,HVAC,1960,66,82.92,40
a4732132-ff89-4f66-b00d-f18acef8656c,f5f10a80-d022-4120-b7b1-4fa4ba372bec,13,Fire Protection,1990,36,99.52,30
3acdb8c6-eebd-49dc-9880-56408b6d2e52,f5f10a80-d022-4120-b7b1-4fa4ba372bec,14,Electric,1997,29,72.77,40
1bca188b-545e-4f51-a21a-64e95b87389f,f5f10a80-d022-4120-b7b1-4fa4ba372bec,15,Furnishing,2025,1,61.99,20
4609d4cc-0855-4d44-a78a-61b2fc1eb45a,f5f10a80-d022-4120-b7b1-4fa4ba372bec,16,Protection,1991,35,50.09,10
66e28b48-8067-4490-8ec8-1d8f1c61f837,f5f10a80-d022-4120-b7b1-4fa4ba372bec,18,Improvements,2003,23,50.43,10
7189ee20-37e4-4d90-9c01-a39c72ad2c67,f5f10a80-d022-4120-b7b1-4fa4ba372bec,19,Utilities,1990,36,62.3,30
a780efad-b701-4e19-b81f-074931cb0e69,f5f10a80-d022-4120-b7b1-4fa4ba372bec,20,Distribution,1979,47,66.11,30
813e4aff-8e14-4102-aea0-6292ddf79448,f5f10a80-d022-4120-b7b1-4fa4ba372bec,21,Other Construction,2015,11,65.05,30
7c2b6f3a-32ff-485c-a224-4d772c78c9e2,f5f10a80-d022-4120-b7b1-4fa4ba372bec,22,Special construction2,2011,15,80.37,30
54da6405-eb26-4f08-9b19-0045e658f0c7,4617aeee-367f-410f-b7b0-05d9aad994a3,1,Foundation,1994,32,80.3,60
64271f0f-10e1-449f-a575-98bab047b30c,4617aeee-367f-410f-b7b0-05d9aad994a3,2,Basement,1999,27,62.81,60
c94d2c16-9ebc-4bd1-b333-b7207d152778,4617aeee-367f-410f-b7b0-05d9aad994a3,3,Superstructure,2009,17,84.99,50
f599efc8-5614-4e9c-8866-e429d7aedfc5,4617aeee-367f-410f-b7b0-05d9aad994a3,4,Exterior Structure,1947,79,82.54,40
47db9e9c-808c-46d2-8b12-a4e991efdd70,4617aeee-367f-410f-b7b0-05d9aad994a3,5,Roofing,1998,28,63.24,20
b4be6764-f6a1-4826-99c2-55fd3e8d6969,4617aeee-367f-410f-b7b0-05d9aad994a3,6,Interior Construction,2009,17,82.5,30
ed377268-7757-4476-ba5f-fea6e2c2637e,4617aeee-367f-410f-b7b0-05d9aad994a3,7,Stairs,2003,23,25.78,40
90a78c3e-cc94-41e0-955f-70314e7dad5b,4617aeee-367f-410f-b7b0-05d9aad994a3,8,Interior Finishes,1988,38,61.5,20
98aae313-20a6-403c-a8c6-30cca9de02e5,4617aeee-367f-410f-b7b0-05d9aad994a3,9,Conveying,2015,11,67.4,10
cec2f4d8-186d-49a3-9fa0-ab6141828514,4617aeee-367f-410f-b7b0-05d9aad994a3,10,Plumbing,1955,71,76.8,30
1940e772-9c86-42ba-bcb7-cfea0073700a,4617aeee-367f-410f-b7b0-05d9aad994a3,12,HVAC,1958,68,74.31,40
d26e6864-4607-42ab-a190-3aea280730d4,4617aeee-367f-410f-b7b0-05d9aad994a3,13,Fire Protection,2026,0,58.38,30
760a5d53-9d0b-4600-a867-8ed613165b4a,4617aeee-367f-410f-b7b0-05d9aad994a3,14,Electric,2015,11,74.26,40
0fab6874-297e-4044-9852-072684b0ad56,4617aeee-367f-410f-b7b0-05d9aad994a3,15,Furnishing,2002,24,67.6,20
6f1416e0-7673-48e1-bad7-d3a32ae24ed5,4617aeee-367f-410f-b7b0-05d9aad994a3,16,Protection,1988,38,66.56,10
08cd57f2-f73c-499c-b989-7ae027fcf69a,4617aeee-367f-410f-b7b0-05d9aad994a3,17,Special construction,2003,23,50.68,10
89338cae-d7fa-4457-be29-24cf08686302,4617aeee-367f-410f-b7b0-05d9aad994a3,18,Improvements,2006,20,66.54,10
b8fa517c-0a4c-45d5-baf1-e19e69698195,4617aeee-367f-410f-b7b0-05d9aad994a3,19,Utilities,1950,76,72.19,30
df3c0fe6-2fb3-4006-a95e-f0b664ed49a5,4617aeee-367f-410f-b7b0-05d9aad994a3,20,Distribution,1959,67,74.62,30
df2bbc2a-7580-4c22-b6fd-66bd8dd154c3,4617aeee-367f-410f-b7b0-05d9aad994a3,21,Other Construction,1953,73,71.4,30
e860799e-17cc-46f3-82d2-b78221d28db0,4617aeee-367f-410f-b7b0-05d9aad994a3,22,Special construction2,2007,19,84.44,30
9469cf67-1dc6-4bd3-a870-24d98056ca64,8e144419-2985-4104-b20f-b3530c5d0a0a,1,Foundation,1990,36,73.93,60
2baf54a9-34b1-4694-857e-c75a22ce8d68,8e144419-2985-4104-b20f-b3530c5d0a0a,3,Superstructure,2006,20,78.26,50
308fe1a2-d8f8-40c6-9db1-6d216c8309b7,8e144419-2985-4104-b20f-b3530c5d0a0a,4,Exterior Structure,2007,19,71.49,40
184dbe01-3d0e-4d22-85b6-a6210b3b4397,8e144419-2985-4104-b20f-b3530c5d0a0a,5,Roofing,1993,33,58.18,20
9982c01a-e64d-47b5-8014-f7f408c6524d,8e144419-2985-4104-b20f-b3530c5d0a0a,6,Interior Construction,1998,28,79.6,30
5a46cb78-269d-4c3e-ab06-bd0330a30a67,8e144419-2985-4104-b20f-b3530c5d0a0a,8,Interior Finishes,2009,17,84.7,20
e8cb49a4-93ba-4079-9d36-80fd9aa6c6de,8e144419-2985-4104-b20f-b3530c5d0a0a,9,Conveying,1997,29,66.04,10
ff65a432-1166-4e4f-9c66-3d79084632ec,8e144419-2985-4104-b20f-b3530c5d0a0a,10,Plumbing,1988,38,68.21,30
7257c957-506d-44ea-b3ad-e2b909069c66,8e144419-2985-4104-b20f-b3530c5d0a0a,13,Fire Protection,1962,64,63.25,30
68816837-af71-4845-b197-547d65579777,8e144419-2985-4104-b20f-b3530c5d0a0a,14,Electric,2023,3,68.25,40
d1c9be6f-ebdf-42f0-8324-f5f70b123261,8e144419-2985-4104-b20f-b3530c5d0a0a,16,Protection,2006,20,78.51,10
2403ba7d-d45b-47d6-a167-67b4a5c56a88,8e144419-2985-4104-b20f-b3530c5d0a0a,18,Improvements,2005,21,12.74,10
74fc110d-b77c-4405-bc20-6b3af49f71cf,8e144419-2985-4104-b20f-b3530c5d0a0a,19,Utilities,2019,7,64.85,30
f8a98fee-15df-404f-a4f3-bfc7b73b4f05,8e144419-2985-4104-b20f-b3530c5d0a0a,20,Distribution,1995,31,63.42,30
29891f6e-f7f1-4e93-9ae9-ee4ce8a08eab,8e144419-2985-4104-b20f-b3530c5d0a0a,21,Other Construction,2012,14,96.25,30
d73f9ac1-aee3-4d2a-996b-677b03949c17,8e144419-2985-4104-b20f-b3530c5d0a0a,22,Special construction2,1980,46,74.68,30
5d4d9ca1-a6f4-450f-9793-4326c52fa60e,3622d125-2718-4f0b-9401-a5209ff47e11,1,Foundation,1995,31,50.05,60
fe2314f1-8e3b-400d-b9f3-b8ff11499485,3622d125-2718-4f0b-9401-a5209ff47e11,3,Superstructure,2005,21,37.96,50
caad9640-8e4d-4be7-9914-be9c156ffc5d,3622d125-2718-4f0b-9401-a5209ff47e11,4,Exterior Structure,2025,1,96.54,40
65edea62-49ea-4116-932b-0f7d4fb81cd8,3622d125-2718-4f0b-9401-a5209ff47e11,5,Roofing,1950,76,63.64,20
defdc2eb-9a94-4849-874d-c5e48014584b,3622d125-2718-4f0b-9401-a5209ff47e11,6,Interior Construction,1997,29,76.61,30
98687099-eb95-411e-bbc7-44a29e2a75d7,3622d125-2718-4f0b-9401-a5209ff47e11,7,Stairs,1994,32,81.97,40
6a8667c5-379b-46ab-aec8-f1b146ae2ed1,3622d125-2718-4f0b-9401-a5209ff47e11,8,Interior Finishes,1992,34,54.96,20
b1771e1e-7120-4ef0-aac3-5e7e64dc5ba4,3622d125-2718-4f0b-9401-a5209ff47e11,9,Conveying,2005,21,80.43,10
facb6362-dbad-47a3-8549-13bce3295aaf,3622d125-2718-4f0b-9401-a5209ff47e11,10,Plumbing,1957,69,54.98,30
887b1691-8a27-4fcf-85d5-4428ac914451,3622d125-2718-4f0b-9401-a5209ff47e11,13,Fire Protection,1961,65,57.65,30
bd9c3568-bc3f-4a4c-9773-e3f3997037b6,3622d125-2718-4f0b-9401-a5209ff47e11,14,Electric,1979,47,58.03,40
ed9d52bb-83fe-429d-8c57-b7f6a372ced1,3622d125-2718-4f0b-9401-a5209ff47e11,16,Protection,1988,38,63.74,10
2e60163a-e31b-44b1-a50d-23ecb8472f68,3622d125-2718-4f0b-9401-a5209ff47e11,18,Improvements,1964,62,67.98,10
79ffff20-9c33-40db-9819-ccd0d4917725,3622d125-2718-4f0b-9401-a5209ff47e11,19,Utilities,1965,61,80.07,30
220bb1c7-dbed-4c8c-bfa4-fbb6d555acfa,3622d125-2718-4f0b-9401-a5209ff47e11,20,Distribution,2000,26,92.58,30
b0af3188-f43c-4bf2-85e0-9cfb8491ee09,3622d125-2718-4f0b-9401-a5209ff47e11,21,Other Construction,1973,53,45.7,30
56f2eedd-00d8-49c9-805d-92fe2368b9f2,3622d125-2718-4f0b-9401-a5209ff47e11,22,Special construction2,2013,13,77.28,30
4167065c-1034-4fd5-a67d-a4fe8050a099,eb14265d-3bdb-4dc0-b073-b143ede1bcd0,1,Foundation,2009,17,57.26,60
f60a3281-04fb-4c58-80c8-2198c026392a,eb14265d-3bdb-4dc0-b073-b143ede1bcd0,2,Basement,2012,14,52.59,60
